,moon_x,moon_y
0,-314902.42386942817,212485.35778719926
1,-315040.7853786094,212314.71815075257
2,-315179.03345298226,212144.0021724625
3,-315317.1680374364,211973.20990845154
4,-315455.1890768447,211802.34141487535
5,-315593.0965161632,211631.3967478563
6,-315730.8903003145,211460.37596366642
7,-315868.5703743377,211289.27911847798
8,-316006.1366831723,211118.1062685796
9,-316143.58917185717,210946.85747029306
10,-316280.92778548144,210775.53277985717
11,-316418.1524691339,210604.13225366024
12,-316555.2631679201,210432.65594807395
13,-316692.2598269625,210261.10391950328
14,-316829.1423914659,210089.4762243532
15,-316965.91080658615,209917.77291909512
16,-317102.5650175947,209745.99406018382
17,-317239.1049696638,209574.13970417378
18,-317375.53060814826,209402.20990763622
19,-317511.84187826986,209230.20472707585
20,-317648.0387254503,209058.12421911355
21,-317784.1210949775,208885.968440387
22,-317920.0889322399,208713.73744756702
23,-318055.9421827085,208541.4312972913
24,-318191.6807917217,208369.05004631376
25,-318327.30470483366,208196.59375137175
26,-318462.8138675157,208024.0624692192
27,-318598.20822525566,207851.45625662673
28,-318733.4877236078,207678.7751704978
29,-318868.652308143,207506.01926761967
30,-319003.7019244986,207333.1886049291
31,-319138.63651822926,207160.28323926314
32,-319273.45603508846,206987.3032276417
33,-319408.16042066383,206814.24862696824
34,-319542.7496207423,206641.11949427932
35,-319677.2235810112,206467.91588661136
36,-319811.5822472242,206294.63786096763
37,-319945.8255652182,206121.28547446773
38,-320079.95348078036,205947.85878418144
39,-320213.9659397474,205774.35784731133
40,-320347.8628880059,205600.78272096053
41,-320481.644271476,205427.13346236476
42,-320615.3100360279,205253.41012872686
43,-320748.860127681,205079.6127773159
44,-320882.2944923722,204905.7414654011
45,-321015.61307615397,204731.7962502848
46,-321148.81582499674,204557.77718931934
47,-321281.9026850194,204383.68433984029
48,-321414.87360229174,204209.51775928304
49,-321547.72852293315,204035.27750501645
50,-321680.4673931128,203860.963634559
51,-321813.09015898354,203686.57620534598
52,-321945.59676673106,203512.11527486268
53,-322077.9871625746,203337.58090067742
54,-322210.26129284955,203162.97314034178
55,-322342.4191037751,202988.29205147404
56,-322474.4605416701,202813.5376916591
57,-322606.38555287005,202638.71011856484
58,-322738.19408372714,202463.80938984294
59,-322869.8860806764,202288.8355632443
60,-323001.4614901363,202113.78869647032
61,-323132.9202585091,201938.668847272
62,-323264.26233232964,201763.47607345044
63,-323395.4876580497,201588.2104328398
64,-323526.5961822539,201412.87198325768
65,-323657.5878514442,201237.4607826048
66,-323788.4626122717,201061.97688876514
67,-323947.8734203106,200847.91988794805
68,-324078.48854148167,200672.2748767772
69,-324208.9865825474,200496.55735903105
70,-324339.36749010894,200320.76739271
71,-324469.63121098396,200144.90503586445
72,-324599.77769189025,199968.9703465778
